,Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year
654,Kalam Marindi,K. Viswanath,unknown,unknown,Gummadi Venkateswara Rao,unknown,unknown,1974
655,Koduku Kodalu,P. Pullaiah,unknown,unknown,ANR,unknown,unknown,1974
656,Kula Gowravam,Peketi Sivaram,unknown,unknown,NTR,unknown,unknown,1974
657,Manavudu Danavudu,P. Chandrasekhara Reddy,unknown,unknown,"Shobhan Babu, Sharada",unknown,unknown,1974
658,Manchi Rojulu Vachchaayi,V. Madhusudan Rao,unknown,unknown,ANR,Social Message,unknown,1974
659,Mathru Murthy?,unknown,unknown,unknown,unknown,unknown,unknown,1974
660,Md Bin Tuglak,unknown,unknown,unknown,"Nagabhushanam, S. P. Balasubrahmanyam",Political Satire,unknown,1974
661,Neeti-Nijayiti,Singeetam Srinivasa Rao,unknown,unknown,Krishnam Raju,unknown,unknown,1974
662,Pandanti Kapuram,Lakshmi Deepak,unknown,unknown,unknown,unknown,unknown,1974
663,Papam Pasivadu,V. Ramachandra Rao,unknown,unknown,unknown,unknown,unknown,1974
664,Raitu Kutumbam,Tatineni Rama Rao,unknown,unknown,ANR,Rural background,unknown,1974
665,Raj Mahal,unknown,unknown,unknown,"Krishna, Kishnamraju",Action,unknown,1974
666,Sabhash Baby?,unknown,unknown,unknown,unknown,unknown,unknown,1974
667,Sabhash Vadina,unknown,unknown,unknown,unknown,unknown,unknown,1974
668,Sri Krishnanjaneya Yuddham,C. S. Rao,unknown,unknown,NTR,unknown,unknown,1974
669,Vichitra Bandham,Adurthi Subba Rao,unknown,unknown,ANR,unknown,unknown,1974
670,Vinta Dampatulu,K. Hemabandhara Rao,unknown,unknown,Nagabhushanam,Social,unknown,1974
671,Vooriki Vupakari,unknown,unknown,unknown,"Chalam, Kannada Aarathi",unknown,unknown,1974
672,Aadhani Adrustam,unknown,unknown,unknown,Chalam,unknown,unknown,1975
673,Abhimanavathi,Doondi,unknown,unknown,Krishna,Drama,unknown,1975
674,Ammayila Sapatham,G. V. R. Seshagiri Rao,unknown,unknown,"Ramakrishna, ",Comedy,unknown,1975
675,Ammayilu Jagratha,P. Sambasiva Rao,unknown,unknown,Sujatha,unknown,unknown,1975
676,Andaru Manchivare,S. S. Balan,unknown,unknown,Sobhan Babu,Drama,unknown,1975
677,Annadammula Anubandham,S. D. Lal,unknown,unknown,N. T. Rama Rao,Action,unknown,1975
678,Annadammula Katha,unknown,unknown,unknown,Chandramohan,Comedy,unknown,1975
679,Anuragalu,K. S. Rami Reddy,unknown,unknown,Sridevi,unknown,unknown,1975
680,Babu,K. Raghavendra Rao,unknown,unknown,Sobhan Babu,Drama,unknown,1975
681,Balipeetam,Dasari Narayana Rao,unknown,unknown,Sobhan Babu,Drama,unknown,1975
682,Bhagasthulu,A. Bhimsingh,unknown,unknown,Nagabhushanam,Family,unknown,1975
683,Bharatamlo Oka Ammayi,Dasari Narayana Rao,unknown,unknown,Murali Mohan,unknown,unknown,1975
684,Bharathi,Veeturi,unknown,unknown,Krishnam Raju,Drama,unknown,1975
685,Bullemma Sapatham,unknown,unknown,unknown,unknown,unknown,unknown,1975
686,Chaduvu Samskaram,Rajshri,unknown,unknown,Kaikala Satyanarayana,Drama,unknown,1975
687,Challani Thalli,K. S. Rami Reddy,unknown,unknown,Anjali Devi,Drama,unknown,1975
688,Cheekati Velugulu,K. S. Prakash Rao,unknown,unknown,Krishna,Drama,unknown,1975
689,Chinninati Kalalu,K. Viswanath,unknown,unknown,Krishnam Raju,Drama,unknown,1975
690,Chittamma Chilakamma,unknown,unknown,unknown,unknown,unknown,unknown,1975
691,Cinema Vaibhavam,P. Chandra Sekhar Reddy,unknown,unknown,Gummadi Venkateswara Rao,unknown,unknown,1975
692,Devude Digivaste,Dasari Narayana Rao,unknown,unknown,"Ramakrishna, ",Fanatacy,unknown,1975
693,Devudu Chesina Pelli,T. Rama Rao,unknown,unknown,Sobhan Babu,unknown,unknown,1975
694,Devudulanti Manishi,C. S. Rao,unknown,unknown,Krishna,unknown,unknown,1975
695,Eduruleni Manishi,K. Bapayya,unknown,unknown,N. T. Rama Rao,Drama,unknown,1975
696,Ee Kalam Dampathulu,D. Yoganand,unknown,unknown,Jamuna,unknown,unknown,1975
697,Gajula Kishtayya,Adurthi Subba Rao,unknown,unknown,Krishna,Drama,unknown,1975
698,Gunavanthudu,Adurthi Subba Rao,unknown,unknown,Sobhan Babu,unknown,unknown,1975
699,Jebu Donga,V. Madhusudhan Rao,unknown,unknown,Sobhan Babu,Drama,unknown,1975
700,Jeevana Jyothi,K. Viswanath,unknown,unknown,Sobhan Babu,Drama,unknown,1975
701,Kathanayakuni Katha,D. Yoganand,unknown,unknown,N. T. Rama Rao,Drama,unknown,1975
702,Kothakapuram,P. Chandra Sekhar Reddy,unknown,unknown,Krishna,unknown,unknown,1975
703,Lakshmana Rekha,N. Gopala Krishna,unknown,unknown,Murali Mohan,Romance,unknown,1975
704,Maa Inti Devudu,B. V. Prasad,unknown,unknown,Vijaya Lalitha,Mythology,unknown,1975
705,Maa Voori Ganga,K. S. R. Das,unknown,unknown,Lakshmi,Drama,unknown,1975
706,Mallela Manasulu,K. V. Nandana Rao,unknown,unknown,S. V. Ranga Rao,Family,unknown,1975
707,Maya Maschindra,B. Mistri,unknown,unknown,N. T. Rama Rao,Mythology,unknown,1975
708,Moguda? Pellama?,B. A. Subba Rao,unknown,unknown,Krishna,Drama,unknown,1975
709,Mutyala Muggu,Bapu,unknown,unknown,"Sreedhar, ",Drama,unknown,1975
710,Naaku Swatantram Vachindi,Lakshmi Deepak,unknown,unknown,Krishnam Raju,Drama,unknown,1975
711,Pandati Samsaram,P. Chandra Sekhar Reddy,unknown,unknown,Gummadi Venkateswara Rao,Family,unknown,1975
712,Parivartana,K. Hemambaradara Rao,unknown,unknown,Krishnam Raju,Romance,unknown,1975
713,Pichodi Pelli,K. S. Rami Reddy,unknown,unknown,Raja Babu,Comedy,unknown,1975
714,Pooja,Murugan Kumaran,unknown,unknown,G. Ramakrishna,Romantic musical film,unknown,1975
715,Puttinti Gowravam,P. Chandra Sekhar Reddy,unknown,unknown,Krishnam Raju,Drama,unknown,1975
716,Raktha Sambandham,M. Mallikarjuna Rao,unknown,unknown,Krishna,Drama,unknown,1975
717,Ramayya Thandri,B. V. Prasad,unknown,unknown,Jayanthi,Family,unknown,1975
718,Ramuni Minchina Ramudu,M. S. Gopinath,unknown,unknown,N. T. Rama Rao,Drama,unknown,1975
719,Samsaram,T. Prakash Rao,unknown,unknown,N. T. Rama Rao,Drama,unknown,1975
720,Santhanam Soubhagyam,D. S. Prakash Rao,unknown,unknown,Krishna,unknown,unknown,1975
721,Soubhagyavathi,P. Chandra Sekhar Reddy,unknown,unknown,Krishna,unknown,unknown,1975
722,Sri Chamundeswari Mahima,Addala Narayana Rao,unknown,unknown,B. Saroja Devi,Mythology,unknown,1975
723,Sri Ramanjaneya Yuddham,Bapu,unknown,unknown,N. T. Rama Rao,Mythology,unknown,1975
724,Swargam Narakam,Dasari Narayana Rao,unknown,unknown,Annapoorna,unknown,unknown,1975
725,Teerpu,U. Viswesvar Rao,unknown,unknown,N. T. Rama Rao,unknown,unknown,1975
726,Thota Ramudu,B. V. Prasad,unknown,unknown,Chalam,Drama,unknown,1975
727,Vaikuntapali,K. Bapayya,unknown,unknown,Chandramohan,unknown,unknown,1975
728,Vayasochina Pilla,Lakshmi Deepak,unknown,unknown,Murali Mohan,unknown,unknown,1975
729,Yashoda Krishna,C. S. Rao,unknown,unknown,S. V. Ranga Rao,Mythology,unknown,1975
730,Zamindarugari Ammayi,Singeetham Srinivasa Rao,unknown,unknown,"Ranganath, ",Social,unknown,1975
731,America Ammayi,Singeetam Srinivasa Rao,unknown,unknown,Devayani,unknown,unknown,1976
732,Aradhana,B. V. Prasad,unknown,unknown,N. T. Rama Rao,Romance,unknown,1976
733,Anthuleni Katha,K. Balachander,unknown,unknown,Jaya Prada,Drama,unknown,1976
734,Bangaru Manishi,A. Bhimsingh,unknown,unknown,N. T. Rama Rao,unknown,unknown,1976
735,Bhakta Kannappa,Bapu,unknown,unknown,Krishnam Raju,unknown,unknown,1976
736,Iddaru Iddare,V. Madhusudhan Rao,unknown,unknown,Sobhan Babu,Drama,unknown,1976
737,Jyothi,K. Raghavendra Rao,unknown,unknown,Murali Mohan,unknown,unknown,1976
738,Maa Daivam,S. S. Balan,unknown,unknown,N. T. Rama Rao,unknown,unknown,1976
739,Mahakavi Kshetrayya,C. S. Rao,unknown,unknown,Akkineni Nageswara Rao,Biographical fim,unknown,1976
740,Magaadu,S. D. Lal,unknown,unknown,N. T. Rama Rao,unknown,unknown,1976
741,Mahatmudu,M. S. Gopinath,unknown,unknown,ANR,unknown,unknown,1976
742,Manchiki Maro Peru,C. S. Rao,unknown,unknown,Krishnam Raju,unknown,unknown,1976
743,Manushulanta Okkate,Dasari Narayana Rao,unknown,unknown,N. T. Rama Rao,Action,unknown,1976
744,Monagadu,T. Krishna,unknown,unknown,Sobhan Babu,Romance,unknown,1976
745,Muthyala Pallaki,Dasari Narayana Rao,unknown,unknown,Jayasudha,Drama,unknown,1976
746,Naa Pere Bhagavan,S. D. Lal,unknown,unknown,Ramakrishna,unknown,unknown,1976
747,Neram Nadi Kadu Akalidi,S. D. Lal,unknown,unknown,N. T. Rama Rao,unknown,unknown,1976
748,Oorummadi Brathukulu,B. S. Narayana,unknown,unknown,Rallapalli,unknown,unknown,1976
749,Pichi Maaraju,V. B. Rajendra Prasad,unknown,unknown,Sobhan Babu,unknown,unknown,1976
750,Pogarubothu,T. Prakash Rao,unknown,unknown,Sobhan Babu,Action,unknown,1976
751,Prema Bandham,K. Viswanath,unknown,unknown,Sobhan Babu,Romance,unknown,1976
752,Raju Vedale,T. Rama Rao,unknown,unknown,Sobhan Babu,unknown,unknown,1976
753,Secretary,K. S. Prakash Rao,unknown,unknown,Akkineni Nageswara Rao,Drama,unknown,1976
754,Siri Siri Muvva,K. Viswanath,unknown,unknown,Jaya Prada,unknown,unknown,1976
755,Sita Kalyanam,Bapu,unknown,unknown,Ravi Kumar,Drama,unknown,1976
756,Soggadu,K. Bapaiah,unknown,unknown,Sobhan Babu,Drama,unknown,1976
757,Thoorpu Padamara,Dasari Narayana Rao,unknown,unknown,Narasimha Raju,"Romance, Drama",unknown,1976
758,Vemulawada Bheemakavi,D. Yoganand,unknown,unknown,NTR,unknown,unknown,1976
759,Vintha Illu Santha Gola,Kosaraju Raghavaiah,unknown,unknown,Chandra Mohan,Drama,unknown,1976
760,Yavvanam Katesindi,Dasari Narayana Rao,unknown,unknown,Krishnam Raju,Drama,unknown,1976
761,Aalu Magalu,Tatineni Rama Rao,unknown,unknown,Akkineni Nageswara Rao,Drama,unknown,1977
762,Aame Katha,K. Raghavendra Rao,unknown,unknown,Jayasudha,unknown,unknown,1977
763,Aatmiyudu,Tatineni Rama Rao,unknown,unknown,Akkineni Nageswara Rao,unknown,unknown,1977
764,Adavi Ramudu,K. Raghavendra Rao,unknown,unknown,N. T. Rama Rao,Drama,unknown,1977
765,Amara Deepam,K. Raghavendra Rao,unknown,unknown,Krishnam Raju,Drama,unknown,1977
766,Bangaru Bommalu,V. B. Rajendra Prasad,unknown,unknown,Akkineni Nageswara Rao,unknown,unknown,1977
767,Bhale Alludu,P. Chandrasekhara Reddy,unknown,unknown,Mohan Babu,Drama,unknown,1977
768,Chakradhari,V. Madhusudhan Rao,unknown,unknown,Akkineni Nageswara Rao,unknown,unknown,1977
769,Chanakya Chandragupta,N. T. Rama Rao,unknown,unknown,Akkineni Nageswara Rao,Historical,unknown,1977
770,Chilakamma Cheppindi,Eranki Sharma,unknown,unknown,Rajinikanth,unknown,unknown,1977
771,Chillarakottu Chittemma,Dasari Narayana Rao,unknown,unknown,Murali Mohan,Drama,unknown,1977
772,Daana Veera Soora Karna,N. T. Rama Rao,unknown,unknown,N. T. Rama Rao,Mythological,unknown,1977
773,Devathalara Deevinchandi,Kommineni Seshagiri Rao,unknown,unknown,Ranganath,Drama,unknown,1977
774,Edureeta,V. Madhusudhan Rao,unknown,unknown,N. T. Rama Rao,unknown,unknown,1977
775,Eetharam Manishi,V. Madhusudhan Rao,unknown,unknown,Sobhan Babu,Drama,unknown,1977
776,Gadusu Pillodu,K. Bapayya,unknown,unknown,Sobhan Babu,Action,unknown,1977
777,Jeevana Teeralu,G. C. Sekhar,unknown,unknown,Krishnam Raju,unknown,unknown,1977
778,Jeevitha Nouka,K. Viswanath,unknown,unknown,Sobhan Babu,Drama,unknown,1977
779,Kalpanaa,K. Raghavendra Rao,unknown,unknown,Murali Mohan,Drama,unknown,1977
780,Kanya Kumari,Dasari Narayana Rao,unknown,unknown,Narasimharaju,Drama,unknown,1977
781,Khaidi Kalidasu,C. Subrahmanyam,unknown,unknown,Sobhan Babu,Action,unknown,1977
782,Kurukshetram,Kamalakara Kameswara Rao,unknown,unknown,Krishna,Mythological,unknown,1977
783,Maa Iddari Katha,Nandamuri Ramesh,unknown,unknown,N. T. Rama Rao,Action drama,unknown,1977
784,Panthulamma,Singeetham Srinivasa Rao,unknown,unknown,Lakshmi,Drama,unknown,1977
785,Premalekhalu,K. Raghavendra Rao,unknown,unknown,Ananth Nag,Drama,unknown,1977
786,Raja Ramesh,V. Madhusudhan Rao,unknown,unknown,ANR,unknown,unknown,1977
787,Seetha Rama Vanavasam,Kamalakara Kameshwara Rao,unknown,unknown,K. S. Ravikumar,Mythology,unknown,1977
788,Sneham,Bapu,unknown,unknown,Saikumar Pudipeddi,Drama,unknown,1977
789,Tharam Marindi,Singeetam Srinivasa Rao,unknown,unknown,"Sridhar, G. S. R. Murthy, Dasarathi",Drama,unknown,1977
790,Tholireyi Gadichindi,K. S. Rami Reddy,unknown,unknown,Murali Mohan,unknown,unknown,1977
791,Yamagola,Tatineni Rama Rao,unknown,unknown,N. T. Rama Rao,Fantasy and comedy,unknown,1977
792,Agent Gopi,K. S. R. Das,unknown,unknown,Krishna,Spy/ Action,unknown,1978
793,Angadi Bomma,V. Madhusudhan Rao,unknown,unknown,Narasimharaju,Drama,unknown,1978
794,Annadammula Savaal,K. S. R. Das,unknown,unknown,Krishna,Drama,unknown,1978
795,Athani Kante Ghanudu,unknown,unknown,unknown,unknown,unknown,unknown,1978
796,Bommarillu,Rajachandra,unknown,unknown,Murali Mohan,Drama,unknown,1978
797,Chal Mohana Ranga,B. Bhaskar,unknown,unknown,Krishna,Action,unknown,1978
798,Chali Cheemalu,Devadas Kanakala,unknown,unknown,Nutan Prasad,unknown,unknown,1978
799,Cheppindi Chestha,M. S. Gopinath,unknown,unknown,Krishna,Drama,unknown,1978
800,Chilipi Krishnudu,B. Subba Rao,unknown,unknown,Akkineni Nageswara Rao,Romance,unknown,1978
801,Chiranjeevi Rambabu,Tatineni Prakash Rao,unknown,unknown,Ranganath,Drama,unknown,1978
802,Devadasu Malli Puttadu,Dasari Narayana Rao,unknown,unknown,Akkineni Nageswara Rao,Romance,unknown,1978
803,Dongala Dopidi,M. Mallikarjuna Rao,unknown,unknown,Krishna,Comedy action,unknown,1978
804,Dongala Veta,K. S. R. Das,unknown,unknown,Krishna,Action,unknown,1978
805,Doo Doo Basavanna,B. V. Prasad,unknown,unknown,Chalam,Comedy,unknown,1978
806,Enki Naidu Bava,B. Subba Rao,unknown,unknown,Sobhan Babu,Drama,unknown,1978
807,Gamattu Gudachari,Singeetham Srinivasa Rao,unknown,unknown,Ranganath,Comedy,unknown,1978
808,Gorantha Deepam,Bapu,unknown,unknown,Mohan Babu,unknown,unknown,1978
809,Indradhanassu,K. Bapayya,unknown,unknown,Krishna,Romance,unknown,1978
810,Jaganmohini,B. Vittalacharya,unknown,unknown,Jayamalini,Fantasy drama,unknown,1978
811,Kalanthakulu,K. Viswanath,unknown,unknown,Sobhan Babu,Comedy,unknown,1978
812,Karunamayudu,A. Bhimsingh,unknown,unknown,Vijayachander,unknown,unknown,1978
813,Katakataala Rudraiah,Dasari Narayana Rao,unknown,unknown,Krishnam Raju,Action,unknown,1978
814,KD No:1,K. Raghavendra Rao,unknown,unknown,N. T. Rama Rao,Action,unknown,1978
815,Khaidi No. 77,V. Hanuman Prasad,unknown,unknown,Murali Mohan,Action,unknown,1978
816,Kondura,Shyam Benegal,unknown,unknown,Ananth Nag,unknown,unknown,1978
817,Kumara Raja,P. Sambasiva Rao,unknown,unknown,Krishna,Drama,unknown,1978
818,Lawyer Viswanath,S. D. Lal,unknown,unknown,N. T. Rama Rao,unknown,unknown,1978
819,Mallepoovu,V. Madhusudhan Rao,unknown,unknown,Sobhan Babu,Romance,unknown,1978
820,Mana Voori Pandavulu,Bapu,unknown,unknown,Chiranjeevi,Action,unknown,1978
821,Manchi Babai,T. Krishna,unknown,unknown,Sobhan Babu,Drama,unknown,1978
822,Maro Charitra,K. Balachander,unknown,unknown,Kamal Haasan,Romance,unknown,1978
823,Melu Kolupu,B. V. Prasad,unknown,unknown,N. T. Rama Rao,Drama,unknown,1978
824,Muggure Mugguru,S. D. Lal,unknown,unknown,Krishna,Drama,unknown,1978
825,Naalaaga Endaro,Eeranki Sharma,unknown,unknown,"Hemasundar, Janaki, Lakshmi Kanth, P. L. Narayana",Drama,unknown,1978
826,Nayudu Bava,P. Chandrashekara Reddy,unknown,unknown,Sobhan Babu,Romance,unknown,1978
827,Nindu Manishi,S. D. Lal,unknown,unknown,Sobhan Babu,Drama,unknown,1978
828,Oka Oori Katha,Mrinal Sen,unknown,unknown,Mamata Shankar,Drama,unknown,1978
829,Padaharella Vayasu,K. Raghavendra Rao,unknown,unknown,Sridevi,Romance,unknown,1978
830,Patnavasam,P. Chandrashekar Reddy,unknown,unknown,Krishna,Drama,unknown,1978
831,Pottelu Punnamma,R. Thyagarajan,unknown,unknown,Mohan Babu,Drama,unknown,1978
832,Pranam Khareedu,K. Vasu,unknown,unknown,Jayasudha,Action,unknown,1978
833,Prema Chesina Pelli,Vijaya Nirmala,unknown,unknown,Chandra Mohan,Romance,unknown,1978
834,Radha Krishna,V. Madhusudhan Rao,unknown,unknown,Sobhan Babu,Romance,unknown,1978
835,Rajaputra Rahasyam,S. D. Lal,unknown,unknown,N. T. Rama Rao,Fantasy/Adventure,unknown,1978
836,Rama Krishnulu,V. B. Rajendra Prasad,unknown,unknown,Akkineni Nageswara Rao,Action drama,unknown,1978
837,Ramachilaka,Singeetham Srinivasa Rao,unknown,unknown,Chandra Mohan,Romance,unknown,1978
838,Rickshaw Raji,D. S. Prakash Rao,unknown,unknown,Jayachitra,Drama,unknown,1978
839,Rowdy Rangamma,Vijaya Nirmala,unknown,unknown,Vijaya Nirmala,Drama,unknown,1978
840,Sahasavanthudu,K. Bapaiah,unknown,unknown,N. T. Rama Rao,Action,unknown,1978
841,Sati Savitri,B. Subba Rao,unknown,unknown,N. T. Rama Rao,Mythology,unknown,1978
842,Seetamalakshmi,K. Viswanath,unknown,unknown,Chandra Mohan,Drama,unknown,1978
843,Simha Baludu,K. Raghavendra Rao,unknown,unknown,N. T. Rama Rao,Action,unknown,1978
844,Simha Garjana,Kommineni,unknown,unknown,Krishna,Action,unknown,1978
845,Sivaranjani,Dasari Narayana Rao,unknown,unknown,Jayasudha,Drama,unknown,1978
846,Sommokadidi Sokokadidi,Singeetam Srinivasa Rao,unknown,unknown,Kamal Haasan,unknown,unknown,1978
847,Sri Rama Pattabhishekam,N. T. Rama Rao,unknown,unknown,N. T. Rama Rao,Mythological,unknown,1978
848,Sri Rama Raksha,Tatineni Rama Rao,unknown,unknown,Akkineni Nageswara Rao,Drama,unknown,1978
849,Sri Renukadevi Mahatyam,C. S. Rao,unknown,unknown,B. Saroja Devi,Devotional,unknown,1978
850,Surya Chandrulu,V. C. Guhanathan,unknown,unknown,Chandra Mohan,Drama,unknown,1978
851,Vayasu Pilichindi,C. V. Sridhar,unknown,unknown,Kamal Haasan,Romance,unknown,1978
852,Vichitra Jeevitham,V. Madhusudhan Rao,unknown,unknown,Akkineni Nageswara Rao,unknown,unknown,1978
853,Yuga Purushudu,K. Bapayya,unknown,unknown,N. T. Rama Rao,Action,unknown,1978
854,Akbar Salim Anarkali,N. T. Rama Rao,unknown,unknown,N. T. Rama Rao,Mythological,unknown,1979
855,Andadu Aagadu,S. D. Lal,unknown,unknown,Krishnam Raju,unknown,unknown,1979
856,Andamaina Anubhavam,K. Balachandar,unknown,unknown,Rajinikanth,Rajan Nagendra,unknown,1979
857,Andaman Ammayi,V. Madhusudhan Rao,unknown,unknown,Akkineni Nageswara Rao,unknown,unknown,1979
858,Annai Oru Aalayam,R. Thyagarajan,unknown,unknown,Rajinikanth,Adventure,unknown,1979
859,Bangaru Chellelu,B. Subba Rao,unknown,unknown,Sobhan Babu,K. V. Mahadevan,unknown,1979
860,Burripalem Bullodu,Bheeram Mastan Rao,unknown,unknown,Krishna,Chakravarthy,unknown,1979
861,Dharma Yuddham,R. C. Sakthi,unknown,unknown,Rajinikanth,Ilaiyaraaja,unknown,1979
862,Driver Ramudu,K. Raghavendra Rao,unknown,unknown,N. T. Rama Rao,Chakravarthy,unknown,1979
863,Gorintaku,Dasari Narayana Rao,unknown,unknown,Shoban Babu,K. V. Mahadevan,unknown,1979
864,Guppedu Manasu,K. Balachandar,unknown,unknown,Sarath Babu,M. S. Viswanathan,unknown,1979
865,Hema Hemeelu,Vijaya Nirmala,unknown,unknown,ANR,unknown,unknown,1979
866,I Love You,Vayu Nandana Rao,unknown,unknown,Chiranjeevi,Satyam,unknown,1979
867,Iddaru Asadhyule,K. S. R. Das,unknown,unknown,Krishna,unknown,unknown,1979
868,Idi Katha Kaadu,K. Balachandar,unknown,unknown,Kamal Haasan,M. S. Viswanathan,unknown,1979
869,Judagadu,V. Madhusudhan Rao,unknown,unknown,Sobhan Babu,Chakravarthy,unknown,1979
870,Kalyani,Dasari Narayana Rao,unknown,unknown,Jayasudha,Ramesh Naidu,unknown,1979
871,Kaliyuga Mahabharatam,V. Hanuman Prasad,unknown,unknown,Narasimha Raju,Satyam,unknown,1979
872,Karthika Deepam,Lakshmi Deepak,unknown,unknown,Sobhan Babu,Satyam,unknown,1979
873,Korikale Gurralaite,Dasari Narayana Rao,unknown,unknown,Murali Mohan,Satyam,unknown,1979
874,Kothala Raayudu,K. Vasu,unknown,unknown,Chiranjeevi,Chakravarthy,unknown,1979
875,Kotta Alludu,P. Sambasiva Rao,unknown,unknown,Krishna,K. V. Mahadevan,unknown,1979
876,Kukka Katuku Cheppu Debba,Eeranki Sharma,unknown,unknown,Chiranjeevi,M. S. Viswanathan,unknown,1979
877,Maavari Manchitanam,B. A. Subba Rao,unknown,unknown,NTR,unknown,unknown,1979
878,Mande Gundelu,K. Bapaiah,unknown,unknown,"Krishna, ",K. V. Mahadevan,unknown,1979
879,Muddula Koduku,V. B. Rajendra Prasad,unknown,unknown,ANR,unknown,unknown,1979
880,Naa Illu Naa Vallu,Raja Chandra,unknown,unknown,Giribabu,J. V. Raghavulu,unknown,1979
881,Nagna Sathyam,U. Viswesar Rao,unknown,unknown,"Ramprasad, Krishnaveni",unknown,unknown,1979
882,Needa,Dasari Narayana Rao,unknown,unknown,Ramesh Babu,Ramesh Naidu,unknown,1979
883,Nimajjanam,B. S. Narayana,unknown,unknown,Sharada,unknown,unknown,1979
884,Nindu Noorellu,K. Raghavendra Rao,unknown,unknown,Mohan Babu,Chakravarthy,unknown,1979
885,Pancha Bhoothalu,P. C. Reddy,unknown,unknown,unknown,unknown,unknown,1979
886,Punadhirallu,Rajkumar,unknown,unknown,Chiranjeevi,Premji Amaran,unknown,1979
887,Rama Banam,Y. Eshwara Reddy,unknown,unknown,Sobhan Babu,Satyam,unknown,1979
888,Rangoon Rowdy,Dasari Narayana Rao,unknown,unknown,Krishnam Raju,J. V. Raghavulu,unknown,1979
889,Ravanude Ramudayithe?,Dasari Narayana Rao,unknown,unknown,ANR,unknown,unknown,1979
890,Shri Rama Bantu,S. D. Lal,unknown,unknown,Chiranjeevi,Satyam,unknown,1979
891,Sri Madvirata Parvam,N. T. Rama Rao,unknown,unknown,N. T. Rama Rao,Susarla Dakshinamurthi,unknown,1979
892,Sri Tirupati Venkateswara Kalyanam,N. T. Rama Rao,unknown,unknown,"NTR, ",unknown,unknown,1979
893,Sri Vinayaka Vijayamu,Kamalakara Kameswara Rao,unknown,unknown,Uppalapati Krishnam Raju,unknown,unknown,1979
894,Srungara Ramudu,K. Shankar,unknown,unknown,N. T. Rama Rao,K. V. Mahadevan,unknown,1979
895,Tayaramma Bangarayya,Kommineni Seshagiri Rao,unknown,unknown,Sowkar Janaki,K. V. Mahadevan,unknown,1979
896,Tiger,Nandamuri Ramesh,unknown,unknown,N. T. Rama Rao,unknown,unknown,1979
897,Toorpu Velle Railu,Bapu,unknown,unknown,"Jyothi, ",unknown,unknown,1979
898,Vetagaadu,K. Raghavendra Rao,unknown,unknown,N. T. Rama Rao,Chakravarthy,unknown,1979
899,Yugandhar,K. S. R. Das,unknown,unknown,N. T. Rama Rao,Ilaiyaraaja,unknown,1979
900,Aarani Mantalu,K. Vasu,T. V. Films,unknown,Chiranjeevi,unknown,unknown,1980
901,Aatagadu,Rama Rao Tatineni,Venkateshwara Movie Creations,unknown,N. T. Rama Rao,unknown,unknown,1980
902,Adadhee Gadapa Datithe,B. S. Narayana,Sri Srinivasa Padmavathi Productions,unknown,Rajendra Prasad,unknown,unknown,1980
903,Adrushtavanthudu,G. C. Shekar,unknown,unknown,Krishna Ghattamaneni,unknown,unknown,1980
904,Agni Samskaram,G. V. Prabhakar,Sri Sharada Enterprises,unknown,Chiranjeevi,unknown,unknown,1980
905,Alayam,D. Madhusudhana,unknown,unknown,Nagesh,unknown,unknown,1980
906,Alludu Pattina Bharatam,K. Vishwanath,D. V. S. Productions,unknown,Krishnam Raju,unknown,unknown,1980
907,Bebbuli,V. Madhusudhan Rao,unknown,unknown,Krishnam Raju,unknown,unknown,1980
908,Bhale Krishnudu,K. Raghavendra Rao,Vijaya Creations,unknown,Krishna Ghattamaneni,unknown,unknown,1980
909,Buchi Babu,Dasari Narayana Rao,Annapurna Studios,unknown,Akkineni Nageswara Rao,unknown,unknown,1980
910,Challenge Ramudu,T. L. V. Prasad,unknown,unknown,N. T. Rama Rao,unknown,unknown,1980
911,Chandipriya,V. Madhusudhan Rao,Annapurna Pictures,unknown,Chiranjeevi,unknown,unknown,1980
912,Chesina Baasalu,K. S. R. Das,Srikanth Pictures,unknown,Sobhan Babu,unknown,unknown,1980
913,Chuttalunnaru Jagratha,B. V. Prasad,Amrutha Pictures,unknown,Krishna Ghattamaneni,unknown,unknown,1980
914,Circus Ramudu,Dasari Narayana Rao,K. C. Films International,unknown,N. T. Rama Rao,unknown,unknown,1980
915,Dharma Chakram,Lakshmi Deepak,Y L N Pictures,unknown,Sobhan Babu,unknown,unknown,1980
916,Gaja Donga,K. Raghavendra Rao,Vijaya Durga Art Pictures,unknown,N. T. Rama Rao,unknown,unknown,1980
917,Gandhara Golam,Singeetham Srinivasa Rao,unknown,unknown,Mohan Babu,unknown,unknown,1980
918,Gayyali Gangamma,Beeram Mastan Rao,Tirupathi International,unknown,Suryakantham,unknown,unknown,1980
919,Guru,I. V. Sasi,unknown,unknown,Kamal Haasan,unknown,unknown,1980
920,Harischandrudu,U. Viswesar Rao,unknown,unknown,Prabhakar Reddy,unknown,unknown,1980
921,Jathara,D. Havala Satyam,unknown,unknown,Chiranjeevi,unknown,unknown,1980
922,Kaali,I. V. Sasi,Sujatha Films private Ltd,unknown,Rajinikanth,unknown,unknown,1980
923,Kaksha,V. C. Guhanathan,Suresh Productions,unknown,Sobhan Babu,unknown,unknown,1980
